datetime,temperature_2m,relative_humidity_2m
2025-08-20T00:00,18.8,60
2025-08-20T01:00,18.5,62
2025-08-20T02:00,17.9,64
2025-08-20T03:00,17.4,66
2025-08-20T04:00,17.4,65
2025-08-20T05:00,17.1,66
2025-08-20T06:00,16.6,68
2025-08-20T07:00,18.0,63
2025-08-20T08:00,20.0,56
2025-08-20T09:00,21.1,53
2025-08-20T10:00,22.6,49
2025-08-20T11:00,23.6,47
2025-08-20T12:00,24.4,44
2025-08-20T13:00,25.0,42
2025-08-20T14:00,26.0,39
2025-08-20T15:00,26.5,39
2025-08-20T16:00,25.9,42
2025-08-20T17:00,23.8,53
2025-08-20T18:00,22.0,57
2025-08-20T19:00,21.3,54
2025-08-20T20:00,20.7,52
2025-08-20T21:00,19.6,50
2025-08-20T22:00,18.8,52
2025-08-20T23:00,18.0,56
